,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,Cluster
198,1,3,1,1,1,2,2,2,1,1,1,1,2
199,2,3,1,1,1,1,1,3,1,1,1,1,2
200,3,2,1,1,1,1,1,4,1,1,1,1,2
201,4,3,1,1,1,1,1,5,1,1,1,1,2
202,5,3,1,1,1,1,1,1,1,1,1,1,1
203,1,3,1,1,1,1,1,4,1,1,1,1,2
204,2,3,1,1,1,1,1,2,1,1,1,1,2
205,3,2,1,1,1,1,1,5,1,1,1,1,2
206,4,2,1,1,1,2,2,3,1,1,1,1,1
207,5,2,1,1,1,1,1,6,1,1,1,1,2
208,1,3,1,1,1,1,1,5,1,1,1,1,2
209,2,3,1,1,1,1,1,5,1,1,1,1,2
210,3,3,1,1,1,1,1,3,1,1,1,1,2
211,4,3,1,1,1,1,1,4,1,1,1,1,2
212,5,3,1,1,1,1,1,3,1,1,1,1,1
213,2,3,1,1,1,1,1,5,1,1,1,1,2
214,3,3,1,1,1,1,1,2,1,1,1,1,2
215,4,3,1,1,1,1,1,4,1,1,1,1,2
216,5,3,1,1,1,1,1,5,1,1,1,1,2
217,1,3,1,1,1,1,1,4,1,1,1,1,2
218,2,3,1,1,1,1,1,2,1,1,1,1,2
219,4,3,1,1,1,1,1,5,1,1,1,1,2
220,5,3,1,1,1,1,1,2,1,1,1,1,1
221,1,2,1,1,1,1,1,5,1,1,1,1,2
222,2,3,1,1,1,1,1,3,1,1,1,1,2
223,3,2,1,1,1,1,1,6,1,1,1,1,2
224,4,2,1,1,1,1,1,8,1,1,1,1,2
225,1,2,1,1,1,1,1,4,1,1,1,1,2
226,3,3,1,1,1,1,1,2,1,1,1,1,2
227,4,2,1,1,1,1,1,5,1,1,1,1,2
228,5,3,1,1,1,1,1,3,1,1,1,1,1
229,1,3,1,1,1,1,1,2,1,1,1,1,2
230,2,3,1,1,1,1,1,7,1,1,1,1,2
231,3,3,1,1,1,1,1,3,1,1,1,1,2
232,4,2,1,1,1,1,1,4,1,1,1,1,2
233,5,2,1,1,1,1,1,2,1,1,1,1,1
